Date,Open,High,Low,Close,AdjClose
2000-01-03,148.2500,148.2500,143.8750,145.4375,91.1328
2000-01-04,143.5312,144.0625,139.6406,139.7500,87.5689
2000-01-05,139.9375,141.5312,137.2500,140.0000,87.7255
2000-01-06,139.6250,141.5000,137.7500,137.7500,86.3157
2000-01-07,140.3125,145.7500,140.0625,145.7500,91.3286
2000-01-10,146.2500,146.9062,145.0312,146.2500,91.6419
2000-01-11,145.8125,146.0938,143.5000,144.5000,90.5453
2000-01-12,144.5938,144.5938,142.8750,143.0625,89.6446
2000-01-13,144.4688,145.7500,143.2812,145.0000,90.8586
2000-01-14,146.5312,147.4688,145.9688,146.9688,92.0922
2000-01-18,145.3438,146.6250,145.1875,145.8125,91.3678
2000-01-19,145.3125,147.0000,145.0000,147.0000,92.1118
2000-01-20,146.9688,146.9688,143.8125,144.7500,90.7019
2000-01-21,145.5000,145.5000,144.0625,144.4375,90.5061
2000-01-24,145.6562,145.8438,139.4062,140.3438,87.9409
2000-01-25,140.5156,141.9375,139.0000,141.9375,88.9396
2000-01-26,141.0000,141.5469,140.0938,140.8125,88.2347
2000-01-27,141.8438,142.2188,138.1250,140.2500,87.8822
2000-01-28,139.4375,140.0625,135.5312,135.8750,85.1408
2000-01-31,135.8125,139.6719,135.0000,139.5625,87.4514
2000-02-01,139.7500,141.6875,138.5312,140.9375,88.3130
2000-02-02,141.2812,142.2500,140.3750,141.0625,88.3914
2000-02-03,140.8750,143.2500,140.0000,143.1875,89.7229
2000-02-04,143.1875,144.0000,142.1250,142.5938,89.3508
2000-02-07,142.5625,142.7812,141.4375,142.3750,89.2138
2000-02-08,143.9688,144.5625,143.6250,144.3125,90.4278
2000-02-09,144.4688,144.4688,141.2656,141.2812,88.5284
2000-02-10,141.6250,142.5625,140.8750,141.5625,88.7047
2000-02-11,141.8438,141.9375,138.0312,138.6875,86.9031
2000-02-14,139.7812,139.7812,138.3125,139.5000,87.4122
2000-02-15,139.2500,141.2188,137.7969,141.0781,88.4011
2000-02-16,140.3750,140.9375,138.7969,139.0000,87.0989
2000-02-17,140.4375,140.4375,138.2188,138.2812,86.6485
2000-02-18,138.8750,138.8750,134.6250,135.3125,84.7883
2000-02-22,135.1875,136.3438,133.5312,134.9688,84.5729
